Channel s
==========
Fields         | Structure constants          | Relative errors            
--------------------------------------------------------------------
V_{(1, 0)}     |  1.00000e+00 + 0.00000e+00im | 0.00000e+00 + 0.00000e+00im
V_{(1, 1)}     | -4.89942e-21 + 5.60025e-21im |  2.92454e+00 + 0.00000e+00im
V_{(2, 0)}     |  1.44460e-14 - 9.58836e-16im |  1.32673e+00 + 0.00000e+00im
V_{(2, 1//2)}  |  6.41788e-64 - 1.14273e-63im |  1.15773e+00 + 0.00000e+00im
V_{(2, 1)}     |  4.88236e-01 + 1.11645e-01im |  2.95715e-42 + 0.00000e+00im
V_{(2, 3//2)}  |  1.44554e-70 - 1.01685e-72im |  5.85107e-01 + 0.00000e+00im
V_{(3, 0)}     | -6.71823e-14 + 4.43232e-14im |  6.11112e+00 + 0.00000e+00im
V_{(3, 1//3)}  | -5.37578e-15 - 5.76840e-15im |  1.44216e+00 + 0.00000e+00im
V_{(3, 2//3)}  |  7.27939e-27 + 1.20532e-25im |  8.44574e-01 + 0.00000e+00im
V_{(3, 1)}     | -1.65110e-03 + 1.57228e-03im |  1.15244e-40 + 0.00000e+00im
V_{(3, 4//3)}  | -1.49616e-12 + 1.36108e-12im |  6.94883e-22 + 0.00000e+00im
V_{(3, 5//3)}  |  4.63400e-21 + 3.91113e-22im |  2.95228e+00 + 0.00000e+00im
V_{(4, 0)}     |  2.71283e-16 + 1.03230e-16im |  9.17442e-01 + 0.00000e+00im
V_{(4, 1//4)}  |  1.81371e-25 - 1.38609e-25im |  8.54762e-01 + 0.00000e+00im
V_{(4, 1//2)}  |  2.62948e-03 - 3.18229e-02im |  1.52926e-40 + 0.00000e+00im
V_{(4, 3//4)}  |  3.23994e-34 + 3.69089e-34im |  3.26432e+00 + 0.00000e+00im
V_{(4, 1)}     | -4.12310e-20 - 4.15472e-20im |  2.90612e+00 + 0.00000e+00im
V_{(4, 5//4)}  | -3.29931e-12 - 6.60576e-12im |  1.42659e-22 + 0.00000e+00im
