Channel s
==========
Fields         | Structure constants          | Relative errors            
V_{(4, 3//2)}  |  1.20510e-45 - 1.31368e-45im |  7.34125e-01 + 0.00000e+00im
V_{(4, 7//4)}  |  8.60984e+09 - 7.33773e+09im |  1.47119e+00 + 0.00000e+00im
V_{(5, 0)}     |  1.91928e+09 - 2.51552e+10im |  3.81323e-01 + 0.00000e+00im
V_{(5, 1//5)}  |  2.97414e+17 - 1.06590e+17im |  4.46603e-01 + 0.00000e+00im
V_{(5, 2//5)}  | -1.30230e+10 - 1.57179e+10im |  9.61700e-01 + 0.00000e+00im
V_{(5, 3//5)}  | -5.21854e-09 - 1.92943e-08im |  1.53676e-01 + 0.00000e+00im
V_{(5, 4//5)}  | -1.44955e+10 + 6.41099e+09im |  3.81323e-01 + 0.00000e+00im
V_{(5, 1)}     | -2.50129e+17 - 2.29078e+17im |  4.46603e-01 + 0.00000e+00im
V_{(5, 6//5)}  |  3.17004e+10 + 2.09847e+10im |  3.81323e-01 + 0.00000e+00im
V_{(5, 7//5)}  | -3.71697e+16 + 2.42615e+17im |  4.46603e-01 + 0.00000e+00im
V_{(5, 8//5)}  |  7.74363e+09 - 4.20606e+09im |  1.03304e+00 + 0.00000e+00im
V_{(5, 9//5)}  |  1.16830e-08 - 1.02042e-08im |  4.55005e-01 + 0.00000e+00im
V_{(6, 0)}     | -5.42138e-08 + 1.53477e-07im |  1.72360e-01 + 0.00000e+00im
V_{(6, 1//6)}  |  9.52324e+10 + 1.04197e+11im |  3.81323e-01 + 0.00000e+00im
V_{(6, 1//3)}  |  2.63646e+17 - 5.23161e+16im |  4.46603e-01 + 0.00000e+00im
V_{(6, 1//2)}  |  5.78113e-08 + 3.16167e-08im |  9.87225e-01 + 0.00000e+00im
V_{(6, 2//3)}  |  2.91301e+10 - 1.26746e+11im |  3.81323e-01 + 0.00000e+00im
V_{(6, 5//6)}  |  2.12393e+10 + 6.38855e+08im |  1.10032e+00 + 0.00000e+00im
V_{(6, 1)}     | -3.13579e-09 - 1.22338e-08im |  1.90911e+00 + 0.00000e+00im
V_{(6, 7//6)}  | -1.27826e+10 + 2.35413e+10im |  1.02850e+00 + 0.00000e+00im
V_{(6, 4//3)}  |  1.24356e-57 + 3.33220e-57im |  1.54452e+00 + 0.00000e+00im
V_{(6, 3//2)}  | -1.44026e+11 + 1.73847e+10im |  3.81323e-01 + 0.00000e+00im
V_{(6, 5//3)}  | -8.43537e+16 + 3.08011e+17im |  4.46603e-01 + 0.00000e+00im
V_{(6, 11//6)} |  2.32436e-14 + 8.38297e-13im |  8.00646e-01 + 0.00000e+00im
V_{(7, 0)}     |  5.79205e+09 - 7.30315e+10im |  3.81323e-01 + 0.00000e+00im
V_{(7, 1//7)}  | -3.13557e+09 + 4.83821e+07im |  1.28413e+00 + 0.00000e+00im
V_{(7, 2//7)}  |  2.21993e-01 - 2.00039e-01im |  1.03147e+00 + 0.00000e+00im
V_{(7, 3//7)}  | -1.22710e+17 - 1.62056e+17im |  4.46603e-01 + 0.00000e+00im
V_{(7, 4//7)}  |  7.32516e+08 + 1.28254e+09im |  1.32300e+00 + 0.00000e+00im
V_{(7, 5//7)}  |  2.46518e+00 - 4.41605e-01im |  1.03170e+00 + 0.00000e+00im
V_{(7, 6//7)}  | -6.36368e+16 + 1.21794e+17im |  4.46603e-01 + 0.00000e+00im
V_{(7, 1)}     |  1.22799e+00 - 6.96143e-02im |  9.14960e-13 + 0.00000e+00im
V_{(7, 8//7)}  | -1.06067e+11 + 4.02347e+10im |  3.81323e-01 + 0.00000e+00im
V_{(7, 9//7)}  | -3.89023e+09 - 7.91348e+09im |  1.15594e+00 + 0.00000e+00im
V_{(7, 10//7)} | -8.19310e-01 + 2.10403e-01im |  1.03114e+00 + 0.00000e+00im
V_{(7, 11//7)} |  7.53879e+10 + 5.56283e+10im |  3.81323e-01 + 0.00000e+00im
V_{(7, 12//7)} |  1.45814e+08 - 7.26308e+08im |  1.43971e+00 + 0.00000e+00im
V_{(7, 13//7)} |  2.54095e-01 + 4.59718e-01im |  1.03124e+00 + 0.00000e+00im
Channel t
==========
Fields              | Structure constants          | Relative errors            
-------------------------------------------------------------------------
V_{(1//2, 0)}       | -1.26811e+00 - 2.03284e+00im |  1.03179e+00 + 0.00000e+00im
V_{(3//2, 0)}       | -1.14704e-41 + 1.41674e-41im |  6.40618e-01 + 0.00000e+00im
V_{(3//2, 2//3)}    |  5.91824e-01 + 9.08017e-02im |  1.18908e-12 + 0.00000e+00im
V_{(3//2, 4//3)}    |  8.13655e+16 + 4.17510e+15im |  4.46603e-01 + 0.00000e+00im
V_{(5//2, 0)}       | -9.85945e+09 - 2.69893e+09im |  1.46562e+00 + 0.00000e+00im
V_{(5//2, 2//5)}    | -1.05334e-03 + 1.30489e-03im |  2.22471e-09 + 0.00000e+00im
V_{(5//2, 4//5)}    |  1.59999e+00 + 5.48178e-01im |  1.03145e+00 + 0.00000e+00im
V_{(5//2, 6//5)}    | -1.28631e+00 + 1.66209e+00im |  1.03169e+00 + 0.00000e+00im
V_{(5//2, 8//5)}    | -1.44907e+16 - 3.75898e+16im |  4.46603e-01 + 0.00000e+00im
V_{(7//2, 0)}       |  3.36041e-02 - 1.24839e+00im |  1.03123e+00 + 0.00000e+00im
V_{(7//2, 2//7)}    |  1.20510e-45 - 1.31368e-45im |  7.34125e-01 + 0.00000e+00im
V_{(7//2, 4//7)}    |  8.60984e+09 - 7.33773e+09im |  1.47119e+00 + 0.00000e+00im
V_{(7//2, 6//7)}    |  1.67364e-03 - 8.42783e-03im |  2.10492e-09 + 0.00000e+00im
V_{(7//2, 8//7)}    | -1.00219e+16 + 9.83801e+15im |  4.46603e-01 + 0.00000e+00im
V_{(7//2, 10//7)}   |  4.30421e+09 + 1.61053e+10im |  1.50806e+00 + 0.00000e+00im
V_{(7//2, 12//7)}   |  1.34627e-03 - 1.64272e-02im |  1.44769e-09 + 0.00000e+00im
V_{(9//2, 0)}       |  3.17004e+10 + 2.09847e+10im |  3.81323e-01 + 0.00000e+00im
V_{(9//2, 2//9)}    | -3.71697e+16 + 2.42615e+17im |  4.46603e-01 + 0.00000e+00im
V_{(9//2, 4//9)}    |  7.74363e+09 - 4.20606e+09im |  1.03304e+00 + 0.00000e+00im
V_{(9//2, 2//3)}    |  1.16830e-08 - 1.02042e-08im |  4.55005e-01 + 0.00000e+00im
V_{(9//2, 8//9)}    |  1.91928e+09 - 2.51552e+10im |  3.81323e-01 + 0.00000e+00im
V_{(9//2, 10//9)}   | -4.85649e+10 + 2.41491e+10im |  3.81323e-01 + 0.00000e+00im
V_{(9//2, 4//3)}    | -1.06270e+17 - 8.23329e+16im |  4.46603e-01 + 0.00000e+00im
V_{(9//2, 14//9)}   | -1.47862e+09 + 1.12166e+08im |  9.85340e-01 + 0.00000e+00im
V_{(9//2, 16//9)}   |  1.37174e-11 + 1.57051e-12im |  7.23070e-01 + 0.00000e+00im
V_{(11//2, 0)}      | -1.27826e+10 + 2.35413e+10im |  1.02850e+00 + 0.00000e+00im
V_{(11//2, 2//11)}  |  1.24356e-57 + 3.33220e-57im |  1.54452e+00 + 0.00000e+00im
V_{(11//2, 4//11)}  | -1.44026e+11 + 1.73847e+10im |  3.81323e-01 + 0.00000e+00im
V_{(11//2, 6//11)}  | -8.43537e+16 + 3.08011e+17im |  4.46603e-01 + 0.00000e+00im
V_{(11//2, 8//11)}  |  2.32436e-14 + 8.38297e-13im |  8.00646e-01 + 0.00000e+00im
V_{(11//2, 10//11)} | -5.42138e-08 + 1.53477e-07im |  1.72360e-01 + 0.00000e+00im
V_{(11//2, 12//11)} |  2.97414e+17 - 1.06590e+17im |  4.46603e-01 + 0.00000e+00im
V_{(11//2, 14//11)} | -1.30230e+10 - 1.57179e+10im |  9.61700e-01 + 0.00000e+00im
V_{(11//2, 16//11)} | -5.21854e-09 - 1.92943e-08im |  1.53676e-01 + 0.00000e+00im
V_{(11//2, 18//11)} | -1.44955e+10 + 6.41099e+09im |  3.81323e-01 + 0.00000e+00im
V_{(11//2, 20//11)} | -2.50129e+17 - 2.29078e+17im |  4.46603e-01 + 0.00000e+00im
V_{(13//2, 0)}      | -1.06067e+11 + 4.02347e+10im |  3.81323e-01 + 0.00000e+00im
V_{(13//2, 2//13)}  | -3.89023e+09 - 7.91348e+09im |  1.15594e+00 + 0.00000e+00im
V_{(13//2, 4//13)}  | -8.19310e-01 + 2.10403e-01im |  1.03114e+00 + 0.00000e+00im
V_{(13//2, 6//13)}  |  7.53879e+10 + 5.56283e+10im |  3.81323e-01 + 0.00000e+00im
V_{(13//2, 8//13)}  |  1.45814e+08 - 7.26308e+08im |  1.43971e+00 + 0.00000e+00im
V_{(13//2, 10//13)} |  2.54095e-01 + 4.59718e-01im |  1.03124e+00 + 0.00000e+00im
V_{(13//2, 12//13)} |  5.79205e+09 - 7.30315e+10im |  3.81323e-01 + 0.00000e+00im
V_{(13//2, 14//13)} |  9.52324e+10 + 1.04197e+11im |  3.81323e-01 + 0.00000e+00im
V_{(13//2, 16//13)} |  2.63646e+17 - 5.23161e+16im |  4.46603e-01 + 0.00000e+00im
V_{(13//2, 18//13)} |  5.78113e-08 + 3.16167e-08im |  9.87225e-01 + 0.00000e+00im
V_{(13//2, 20//13)} |  2.91301e+10 - 1.26746e+11im |  3.81323e-01 + 0.00000e+00im
V_{(13//2, 22//13)} |  2.12393e+10 + 6.38855e+08im |  1.10032e+00 + 0.00000e+00im
V_{(13//2, 24//13)} | -3.13579e-09 - 1.22338e-08im |  1.90911e+00 + 0.00000e+00im
V_{(15//2, 0)}      |  1.13385e+02 - 3.64233e+02im |  1.14701e+00 + 0.00000e+00im
V_{(15//2, 2//15)}  |  8.84584e+13 - 1.31362e+14im |  1.31487e+00 + 0.00000e+00im
V_{(15//2, 4//15)}  |  8.59401e-01 - 5.63899e-01im |  1.42365e+00 + 0.00000e+00im
V_{(15//2, 2//5)}   |  1.01781e-02 - 1.62240e-04im |  5.01426e-11 + 0.00000e+00im
V_{(15//2, 8//15)}  |  1.47304e+02 + 2.20124e+02im |  1.22806e+00 + 0.00000e+00im
V_{(15//2, 2//3)}   |  3.24610e+13 + 1.37772e+14im |  1.31487e+00 + 0.00000e+00im
V_{(15//2, 4//5)}   | -3.92558e-15 + 4.33132e-15im |  1.80413e+00 + 0.00000e+00im
V_{(15//2, 14//15)} |  2.71148e-01 - 1.94509e-01im |  7.26420e-12 + 0.00000e+00im
V_{(15//2, 16//15)} | -3.13557e+09 + 4.83821e+07im |  1.28413e+00 + 0.00000e+00im
V_{(15//2, 6//5)}   |  2.21993e-01 - 2.00039e-01im |  1.03147e+00 + 0.00000e+00im
V_{(15//2, 4//3)}   | -1.22710e+17 - 1.62056e+17im |  4.46603e-01 + 0.00000e+00im
V_{(15//2, 22//15)} |  7.32516e+08 + 1.28254e+09im |  1.32300e+00 + 0.00000e+00im
V_{(15//2, 8//5)}   |  2.46518e+00 - 4.41605e-01im |  1.03170e+00 + 0.00000e+00im
V_{(15//2, 26//15)} | -6.36368e+16 + 1.21794e+17im |  4.46603e-01 + 0.00000e+00im
V_{(15//2, 28//15)} |  1.22799e+00 - 6.96143e-02im |  9.14960e-13 + 0.00000e+00im
Channel u
==========
Fields              | Structure constants          | Relative errors            
-------------------------------------------------------------------------
V_{(3//2, 0)}       |  1.13385e+02 - 3.64233e+02im |  1.14701e+00 + 0.00000e+00im
V_{(3//2, 2//3)}    |  8.84584e+13 - 1.31362e+14im |  1.31487e+00 + 0.00000e+00im
V_{(3//2, 4//3)}    |  1.22799e+00 - 6.96143e-02im |  9.14960e-13 + 0.00000e+00im
V_{(5//2, 0)}       |  1.47304e+02 + 2.20124e+02im |  1.22806e+00 + 0.00000e+00im
V_{(5//2, 2//5)}    |  3.24610e+13 + 1.37772e+14im |  1.31487e+00 + 0.00000e+00im
V_{(5//2, 4//5)}    | -3.92558e-15 + 4.33132e-15im |  1.80413e+00 + 0.00000e+00im
V_{(5//2, 6//5)}    |  8.59401e-01 - 5.63899e-01im |  1.42365e+00 + 0.00000e+00im
V_{(5//2, 8//5)}    |  1.01781e-02 - 1.62240e-04im |  5.01426e-11 + 0.00000e+00im
V_{(7//2, 0)}       | -3.72864e-15 + 1.49444e-15im |  2.71596e+00 + 0.00000e+00im
V_{(7//2, 2//7)}    |  3.09296e-02 - 1.17653e-02im |  6.05801e-11 + 0.00000e+00im
V_{(7//2, 4//7)}    |  6.85699e+01 - 6.69000e+01im |  1.65806e+00 + 0.00000e+00im
V_{(7//2, 6//7)}    |  9.52458e+13 - 2.62933e+13im |  1.31487e+00 + 0.00000e+00im
V_{(7//2, 8//7)}    |  2.71148e-01 - 1.94509e-01im |  7.26420e-12 + 0.00000e+00im
V_{(7//2, 10//7)}   | -1.65782e+02 - 1.74804e+01im |  1.39749e+00 + 0.00000e+00im
V_{(7//2, 12//7)}   | -1.04449e+14 - 6.09839e+13im |  1.31487e+00 + 0.00000e+00im
V_{(9//2, 0)}       | -3.30236e-15 + 2.22264e-14im |  5.30889e+00 + 0.00000e+00im
V_{(9//2, 2//9)}    | -2.00256e-06 - 2.03321e-06im |  3.81309e-04 + 0.00000e+00im
V_{(9//2, 4//9)}    | -6.87967e+02 + 2.97995e+02im |  2.87813e+00 + 0.00000e+00im
V_{(9//2, 2//3)}    | -1.48011e+00 - 1.22186e+00im |  1.14212e+00 + 0.00000e+00im
V_{(9//2, 8//9)}    | -7.71909e-15 - 1.55983e-14im |  4.35928e+00 + 0.00000e+00im
V_{(9//2, 10//9)}   |  8.31891e-15 - 1.17795e-14im |  3.28290e+00 + 0.00000e+00im
V_{(9//2, 4//3)}    |  1.26282e-05 + 8.72020e-06im |  1.62086e-04 + 0.00000e+00im
V_{(9//2, 14//9)}   |  6.24039e+02 + 4.98356e+02im |  2.08994e+00 + 0.00000e+00im
V_{(9//2, 16//9)}   |  8.52805e-01 + 5.80965e-01im |  6.76752e-01 + 0.00000e+00im
V_{(11//2, 0)}      |  4.85796e+02 + 3.55338e+02im |  1.89265e+00 + 0.00000e+00im
V_{(11//2, 2//11)}  | -4.10182e+00 + 9.68238e-01im |  1.40744e+00 + 0.00000e+00im
V_{(11//2, 4//11)}  |  5.32007e-15 + 2.19892e-15im |  1.96867e+00 + 0.00000e+00im
V_{(11//2, 6//11)}  |  2.51276e-05 + 1.15843e-05im |  1.62000e-04 + 0.00000e+00im
V_{(11//2, 8//11)}  | -4.70181e+02 + 1.68183e+02im |  1.25601e+00 + 0.00000e+00im
V_{(11//2, 10//11)} |  2.01889e+00 - 2.36377e+00im |  1.48681e+00 + 0.00000e+00im
V_{(11//2, 12//11)} | -6.04434e-05 - 1.19846e-05im |  1.16606e-04 + 0.00000e+00im
V_{(11//2, 14//11)} |  6.20164e+01 - 6.80852e+02im |  3.26583e+00 + 0.00000e+00im
V_{(11//2, 16//11)} |  3.43413e+00 + 1.26933e+00im |  1.30329e+00 + 0.00000e+00im
V_{(11//2, 18//11)} |  3.68140e-15 - 4.35389e-16im |  2.47597e+00 + 0.00000e+00im
V_{(11//2, 20//11)} | -1.61271e-05 - 4.53764e-06im |  3.81003e-04 + 0.00000e+00im
V_{(13//2, 0)}      | -1.45270e+13 - 5.57660e+13im |  1.31487e+00 + 0.00000e+00im
V_{(13//2, 2//13)}  | -8.86298e-01 - 2.76063e+00im |  1.06830e+00 + 0.00000e+00im
V_{(13//2, 4//13)}  |  1.13731e-14 - 3.66459e-15im |  6.08782e+00 + 0.00000e+00im
V_{(13//2, 6//13)}  |  1.44786e-05 - 1.46664e-05im |  7.49407e-01 + 0.00000e+00im
V_{(13//2, 8//13)}  |  3.49100e+13 + 2.17661e+13im |  1.31486e+00 + 0.00000e+00im
V_{(13//2, 10//13)} | -3.90290e+00 + 8.93199e+00im |  7.13347e-01 + 0.00000e+00im
V_{(13//2, 12//13)} | -4.74029e-14 + 9.40552e-18im |  1.50396e+00 + 0.00000e+00im
V_{(13//2, 14//13)} | -1.59865e-14 + 4.54049e-14im |  1.73280e+00 + 0.00000e+00im
V_{(13//2, 16//13)} |  6.34318e-05 - 1.41832e-05im |  7.46374e-01 + 0.00000e+00im
V_{(13//2, 18//13)} | -3.81279e+13 + 6.70974e+13im |  1.31487e+00 + 0.00000e+00im
V_{(13//2, 20//13)} | -1.51844e-01 + 1.35752e+00im |  1.45593e+00 + 0.00000e+00im
V_{(13//2, 22//13)} | -1.17135e-14 + 5.03797e-15im |  3.00026e+00 + 0.00000e+00im
V_{(13//2, 24//13)} | -3.36442e-05 + 1.94272e-05im |  7.47651e-01 + 0.00000e+00im
V_{(15//2, 0)}      | -1.38542e-14 + 6.26485e-15im |  1.02403e+00 + 0.00000e+00im
V_{(15//2, 2//15)}  |  1.13504e-04 + 5.88856e-05im |  7.48014e-01 + 0.00000e+00im
V_{(15//2, 4//15)}  |  1.31478e+14 + 1.12835e+14im |  1.31486e+00 + 0.00000e+00im
V_{(15//2, 2//5)}   | -3.31880e+00 + 6.76094e+00im |  1.13961e+00 + 0.00000e+00im
V_{(15//2, 8//15)}  |  3.06656e-15 - 7.08853e-16im |  5.89777e-01 + 0.00000e+00im
V_{(15//2, 2//3)}   | -9.59329e-05 - 1.10723e-05im |  7.46534e-01 + 0.00000e+00im
V_{(15//2, 4//5)}   | -1.67728e+14 + 2.38090e+13im |  1.31487e+00 + 0.00000e+00im
V_{(15//2, 14//15)} | -2.52007e+00 - 3.08898e+00im |  1.33617e+00 + 0.00000e+00im
V_{(15//2, 16//15)} |  4.31010e-05 + 1.55021e-04im |  7.50322e-01 + 0.00000e+00im
V_{(15//2, 6//5)}   | -2.75846e+13 + 5.24194e+12im |  1.31486e+00 + 0.00000e+00im
V_{(15//2, 4//3)}   | -5.54565e+00 - 1.17242e+01im |  8.05894e-01 + 0.00000e+00im
V_{(15//2, 22//15)} |  3.98825e-14 - 1.79359e-14im |  1.30398e+00 + 0.00000e+00im
V_{(15//2, 8//5)}   | -9.74493e-05 - 1.16019e-04im |  7.49701e-01 + 0.00000e+00im
V_{(15//2, 26//15)} |  1.11000e+13 - 1.45756e+13im |  1.31486e+00 + 0.00000e+00im
V_{(15//2, 28//15)} |  1.09172e+01 + 6.94504e-01im |  9.82647e-01 + 0.00000e+00im

