Channel s
==========
Fields         | Structure constants          | Relative errors            
--------------------------------------------------------------------
V_{(1, 0)}     |  1.00000e+00 + 0.00000e+00im | 0.00000e+00 + 0.00000e+00im
V_{(1, 1)}     |  8.13655e+16 + 4.17510e+15im |  4.46603e-01 + 0.00000e+00im
V_{(2, 0)}     |  5.91824e-01 + 9.08017e-02im |  1.18908e-12 + 0.00000e+00im
V_{(2, 1//2)}  | -1.28631e+00 + 1.66209e+00im |  1.03169e+00 + 0.00000e+00im
V_{(2, 1)}     | -1.44907e+16 - 3.75898e+16im |  4.46603e-01 + 0.00000e+00im
V_{(2, 3//2)}  | -1.14704e-41 + 1.41674e-41im |  6.40618e-01 + 0.00000e+00im
V_{(3, 0)}     |  1.59999e+00 + 5.48178e-01im |  1.03145e+00 + 0.00000e+00im
V_{(3, 1//3)}  | -1.00219e+16 + 9.83801e+15im |  4.46603e-01 + 0.00000e+00im
V_{(3, 2//3)}  |  4.30421e+09 + 1.61053e+10im |  1.50806e+00 + 0.00000e+00im
V_{(3, 1)}     |  1.34627e-03 - 1.64272e-02im |  1.44769e-09 + 0.00000e+00im
V_{(3, 4//3)}  | -9.85945e+09 - 2.69893e+09im |  1.46562e+00 + 0.00000e+00im
V_{(3, 5//3)}  | -1.05334e-03 + 1.30489e-03im |  2.22471e-09 + 0.00000e+00im
V_{(4, 0)}     |  1.67364e-03 - 8.42783e-03im |  2.10492e-09 + 0.00000e+00im
V_{(4, 1//4)}  | -4.85649e+10 + 2.41491e+10im |  3.81323e-01 + 0.00000e+00im
V_{(4, 1//2)}  | -1.06270e+17 - 8.23329e+16im |  4.46603e-01 + 0.00000e+00im
V_{(4, 3//4)}  | -1.47862e+09 + 1.12166e+08im |  9.85340e-01 + 0.00000e+00im
V_{(4, 1)}     |  1.37174e-11 + 1.57051e-12im |  7.23070e-01 + 0.00000e+00im
V_{(4, 5//4)}  |  3.36041e-02 - 1.24839e+00im |  1.03123e+00 + 0.00000e+00im
