Channel s
==========
Fields         | Structure constants          | Relative errors            
--------------------------------------------------------------------
V_{(1, 0)}     |  1.00000e+00 + 0.00000e+00im | 0.00000e+00 + 0.00000e+00im
V_{(1, 1)}     | -1.86753e-12 + 1.16469e-11im |  1.83379e+00 + 0.00000e+00im
V_{(2, 0)}     |  8.52559e-04 + 3.74189e-04im |  3.73524e-01 + 0.00000e+00im
V_{(2, 1//2)}  | -3.61973e-04 - 2.22062e-04im |  5.88488e-01 + 0.00000e+00im
V_{(2, 1)}     | -1.31723e-06 + 6.65765e-07im |  1.33256e+00 + 0.00000e+00im
V_{(2, 3//2)}  |  2.97494e-05 - 2.64001e-05im |  1.56818e-01 + 0.00000e+00im
V_{(3, 0)}     | -1.33086e+00 - 1.71678e+00im |  1.30195e+00 + 0.00000e+00im
V_{(3, 1//3)}  | -1.28877e+00 + 1.44832e+00im |  1.31536e+00 + 0.00000e+00im
V_{(3, 2//3)}  | -1.29372e-03 - 2.93391e-03im |  7.15345e-01 + 0.00000e+00im
V_{(3, 1)}     |  5.76309e+00 + 1.12728e+00im |  6.36133e-01 + 0.00000e+00im
V_{(3, 4//3)}  |  2.23202e-03 + 4.13869e-04im |  2.58550e-01 + 0.00000e+00im
V_{(3, 5//3)}  |  2.89646e-02 + 4.71937e-02im |  1.36109e+00 + 0.00000e+00im
V_{(4, 0)}     |  2.01773e-06 + 2.83125e-05im |  2.15275e+00 + 0.00000e+00im
V_{(4, 1//4)}  |  3.93409e-04 - 2.65738e-04im |  1.23194e-01 + 0.00000e+00im
V_{(4, 1//2)}  | -5.79683e-06 - 6.49207e-06im |  1.72997e-01 + 0.00000e+00im
V_{(4, 3//4)}  | -1.20352e-05 - 6.56742e-04im |  2.44139e-01 + 0.00000e+00im
V_{(4, 1)}     | -9.36720e-05 + 1.29245e-04im |  6.75798e-01 + 0.00000e+00im
V_{(4, 5//4)}  |  5.06816e-02 + 7.70363e-02im |  7.61678e-01 + 0.00000e+00im
