Channel s
==========
Fields         | Structure constants          | Relative errors            
V_{(4, 3//2)}  | -4.75136e+69 - 2.42448e+68im |  1.47659e+00 + 0.00000e+00im
V_{(4, 7//4)}  |  2.87658e+03 - 1.69969e+03im |  1.22238e+00 + 0.00000e+00im
V_{(5, 0)}     |  3.23053e+50 - 5.06210e+51im |  1.13258e+00 + 0.00000e+00im
V_{(5, 1//5)}  |  3.50211e+68 - 4.75781e+68im |  1.16944e+00 + 0.00000e+00im
V_{(5, 2//5)}  | -6.03918e+74 - 2.53054e+74im |  2.40242e-01 + 0.00000e+00im
V_{(5, 3//5)}  | -5.49486e+80 - 9.50733e+79im |  2.22239e+00 + 0.00000e+00im
V_{(5, 4//5)}  | -8.28934e+67 + 3.56896e+66im |  1.64387e+00 + 0.00000e+00im
V_{(5, 1)}     |  2.84824e+54 + 4.82346e+53im |  1.10658e+00 + 0.00000e+00im
V_{(5, 6//5)}  |  3.75739e+68 + 8.05292e+68im |  1.16943e+00 + 0.00000e+00im
V_{(5, 7//5)}  |  2.83289e+74 - 2.24819e+74im |  2.40240e-01 + 0.00000e+00im
V_{(5, 8//5)}  |  3.97346e+80 - 3.87713e+80im |  2.21176e+00 + 0.00000e+00im
V_{(5, 9//5)}  |  2.90001e+68 - 6.86644e+68im |  1.59814e+00 + 0.00000e+00im
V_{(6, 0)}     |  6.49768e+67 + 2.06224e+68im |  1.16945e+00 + 0.00000e+00im
V_{(6, 1//6)}  |  7.37249e+74 - 4.71204e+74im |  2.40240e-01 + 0.00000e+00im
V_{(6, 1//3)}  |  2.13084e+80 - 3.68517e+80im |  2.23661e+00 + 0.00000e+00im
V_{(6, 1//2)}  |  1.53686e+66 + 7.81440e+65im |  9.12916e-01 + 0.00000e+00im
V_{(6, 2//3)}  |  1.60758e+07 - 9.32206e+07im |  1.61808e+00 + 0.00000e+00im
V_{(6, 5//6)}  |  4.49441e+68 + 2.71450e+69im |  1.16946e+00 + 0.00000e+00im
V_{(6, 1)}     | -6.89122e+74 - 4.12869e+74im |  2.40237e-01 + 0.00000e+00im
V_{(6, 7//6)}  | -3.64417e+68 - 5.68273e+67im |  1.16945e+00 + 0.00000e+00im
V_{(6, 4//3)}  |  7.69869e+73 + 8.27563e+74im |  2.40242e-01 + 0.00000e+00im
V_{(6, 3//2)}  |  2.18220e+80 + 4.59760e+80im |  2.23128e+00 + 0.00000e+00im
V_{(6, 5//3)}  |  2.71632e+67 - 2.82476e+67im |  1.58273e+00 + 0.00000e+00im
V_{(6, 11//6)} | -6.55671e+52 - 7.25407e+53im |  1.10606e+00 + 0.00000e+00im
V_{(7, 0)}     | -5.65527e+54 - 6.63498e+54im |  1.10724e+00 + 0.00000e+00im
V_{(7, 1//7)}  | -2.38336e+69 - 4.57330e+68im |  1.16945e+00 + 0.00000e+00im
V_{(7, 2//7)}  | -3.26368e+80 + 2.25652e+79im |  2.23728e+00 + 0.00000e+00im
V_{(7, 3//7)}  |  2.38780e+68 + 7.14060e+67im |  1.18729e+00 + 0.00000e+00im
V_{(7, 4//7)}  | -2.96569e+54 + 5.61864e+54im |  1.10616e+00 + 0.00000e+00im
V_{(7, 5//7)}  |  7.87366e+68 + 1.91910e+69im |  1.16944e+00 + 0.00000e+00im
V_{(7, 6//7)}  |  1.40023e+80 + 1.82973e+80im |  2.23312e+00 + 0.00000e+00im
V_{(7, 1)}     | -2.47873e+68 - 4.55055e+68im |  1.18692e+00 + 0.00000e+00im
V_{(7, 8//7)}  | -1.49375e+67 - 1.87301e+67im |  1.40888e+00 + 0.00000e+00im
V_{(7, 9//7)}  |  3.59783e+51 + 3.69389e+51im |  3.15397e-01 + 0.00000e+00im
V_{(7, 10//7)} |  6.39515e+54 - 1.73914e+54im |  1.11085e+00 + 0.00000e+00im
V_{(7, 11//7)} |  1.89086e+69 - 1.88005e+69im |  1.16946e+00 + 0.00000e+00im
V_{(7, 12//7)} | -5.96317e+73 + 6.52918e+74im |  2.40234e-01 + 0.00000e+00im
V_{(7, 13//7)} | -4.12845e+67 + 1.96530e+67im |  1.19236e+00 + 0.00000e+00im
V_{(8, 0)}     |  2.63595e+68 - 1.03411e+68im |  1.17729e+00 + 0.00000e+00im
V_{(8, 1//8)}  |  3.31264e+57 - 3.92342e+57im |  1.69444e+00 + 0.00000e+00im
V_{(8, 1//4)}  |  4.50102e+74 - 1.61239e+74im |  2.40231e-01 + 0.00000e+00im
V_{(8, 3//8)}  |  2.86015e+79 + 2.85055e+79im |  2.20402e+00 + 0.00000e+00im
V_{(8, 1//2)}  | -3.93339e+67 - 1.19329e+67im |  1.18042e+00 + 0.00000e+00im
V_{(8, 5//8)}  | -1.33633e+11 - 6.36317e+09im |  5.37729e-01 + 0.00000e+00im
V_{(8, 3//4)}  | -2.14722e+74 - 2.23482e+74im |  2.40229e-01 + 0.00000e+00im
V_{(8, 7//8)}  |  3.18333e+78 - 1.35278e+79im |  2.19533e+00 + 0.00000e+00im
V_{(8, 1)}     |  5.28930e+51 + 3.15832e+51im |  1.13001e+00 + 0.00000e+00im
V_{(8, 9//8)}  | -3.92848e+58 - 1.42137e+58im |  1.62623e+00 + 0.00000e+00im
V_{(8, 5//4)}  |  9.70636e+68 - 1.35295e+69im |  1.16943e+00 + 0.00000e+00im
V_{(8, 11//8)} |  4.93872e+79 - 1.38870e+80im |  2.22501e+00 + 0.00000e+00im
V_{(8, 3//2)}  | -1.81763e+68 + 5.08657e+68im |  1.18669e+00 + 0.00000e+00im
V_{(8, 13//8)} |  4.91845e+57 + 1.75441e+58im |  1.66819e+00 + 0.00000e+00im
V_{(8, 7//4)}  | -1.25093e+69 - 1.04035e+68im |  1.16943e+00 + 0.00000e+00im
V_{(8, 15//8)} | -8.17470e+79 + 1.88390e+79im |  2.21461e+00 + 0.00000e+00im
Channel t
==========
Fields               | Structure constants          | Relative errors            
--------------------------------------------------------------------------
V_{(1//2, 0)}        |  5.74599e+58 - 4.04850e+57im |  1.65140e+00 + 0.00000e+00im
V_{(3//2, 0)}        |  1.41454e+21 + 1.54049e+22im |  2.26533e+00 + 0.00000e+00im
V_{(3//2, 2//3)}     |  1.00749e+68 + 2.32721e+69im |  1.41767e+00 + 0.00000e+00im
V_{(3//2, 4//3)}     | -6.78421e+73 + 1.61536e+74im |  2.40230e-01 + 0.00000e+00im
V_{(5//2, 0)}        |  8.21436e+73 + 2.87354e+71im |  2.40232e-01 + 0.00000e+00im
V_{(5//2, 2//5)}     |  1.82715e+80 - 7.54718e+79im |  2.18959e+00 + 0.00000e+00im
V_{(5//2, 4//5)}     |  3.37746e+69 - 3.48686e+69im |  1.43380e+00 + 0.00000e+00im
V_{(5//2, 6//5)}     |  2.17769e+51 + 2.01146e+51im |  1.13638e+00 + 0.00000e+00im
V_{(5//2, 8//5)}     | -6.66576e+58 - 6.46851e+58im |  1.61266e+00 + 0.00000e+00im
V_{(7//2, 0)}        | -3.20657e+80 - 1.82070e+80im |  2.19362e+00 + 0.00000e+00im
V_{(7//2, 2//7)}     | -4.75136e+69 - 2.42448e+68im |  1.47659e+00 + 0.00000e+00im
V_{(7//2, 4//7)}     |  2.87658e+03 - 1.69969e+03im |  1.22238e+00 + 0.00000e+00im
V_{(7//2, 6//7)}     |  6.00101e+58 - 3.96292e+58im |  1.59527e+00 + 0.00000e+00im
V_{(7//2, 8//7)}     | -1.58760e+51 + 2.23047e+50im |  1.02574e+00 + 0.00000e+00im
V_{(7//2, 10//7)}    | -7.44520e+57 + 9.46422e+58im |  1.59047e+00 + 0.00000e+00im
V_{(7//2, 12//7)}    | -9.93791e+72 - 2.51038e+73im |  2.40234e-01 + 0.00000e+00im
V_{(9//2, 0)}        |  3.75739e+68 + 8.05292e+68im |  1.16943e+00 + 0.00000e+00im
V_{(9//2, 2//9)}     |  2.83289e+74 - 2.24819e+74im |  2.40240e-01 + 0.00000e+00im
V_{(9//2, 4//9)}     |  3.97346e+80 - 3.87713e+80im |  2.21176e+00 + 0.00000e+00im
V_{(9//2, 2//3)}     |  2.90001e+68 - 6.86644e+68im |  1.59814e+00 + 0.00000e+00im
V_{(9//2, 8//9)}     |  3.23053e+50 - 5.06210e+51im |  1.13258e+00 + 0.00000e+00im
V_{(9//2, 10//9)}    |  3.17896e+19 - 2.08184e+19im |  1.13500e+00 + 0.00000e+00im
V_{(9//2, 4//3)}     |  6.59590e+79 + 4.87464e+80im |  2.20151e+00 + 0.00000e+00im
V_{(9//2, 14//9)}    |  1.50899e+69 + 2.12488e+69im |  1.53274e+00 + 0.00000e+00im
V_{(9//2, 16//9)}    |  5.64661e+51 + 5.81872e+51im |  1.08340e+00 + 0.00000e+00im
V_{(11//2, 0)}       | -3.64417e+68 - 5.68273e+67im |  1.16945e+00 + 0.00000e+00im
V_{(11//2, 2//11)}   |  7.69869e+73 + 8.27563e+74im |  2.40242e-01 + 0.00000e+00im
V_{(11//2, 4//11)}   |  2.18220e+80 + 4.59760e+80im |  2.23128e+00 + 0.00000e+00im
V_{(11//2, 6//11)}   |  2.71632e+67 - 2.82476e+67im |  1.58273e+00 + 0.00000e+00im
V_{(11//2, 8//11)}   | -6.55671e+52 - 7.25407e+53im |  1.10606e+00 + 0.00000e+00im
V_{(11//2, 10//11)}  |  6.49768e+67 + 2.06224e+68im |  1.16945e+00 + 0.00000e+00im
V_{(11//2, 12//11)}  |  3.50211e+68 - 4.75781e+68im |  1.16944e+00 + 0.00000e+00im
V_{(11//2, 14//11)}  | -6.03918e+74 - 2.53054e+74im |  2.40242e-01 + 0.00000e+00im
V_{(11//2, 16//11)}  | -5.49486e+80 - 9.50733e+79im |  2.22239e+00 + 0.00000e+00im
V_{(11//2, 18//11)}  | -8.28934e+67 + 3.56896e+66im |  1.64387e+00 + 0.00000e+00im
V_{(11//2, 20//11)}  |  2.84824e+54 + 4.82346e+53im |  1.10658e+00 + 0.00000e+00im
V_{(13//2, 0)}       | -1.49375e+67 - 1.87301e+67im |  1.40888e+00 + 0.00000e+00im
V_{(13//2, 2//13)}   |  3.59783e+51 + 3.69389e+51im |  3.15397e-01 + 0.00000e+00im
V_{(13//2, 4//13)}   |  6.39515e+54 - 1.73914e+54im |  1.11085e+00 + 0.00000e+00im
V_{(13//2, 6//13)}   |  1.89086e+69 - 1.88005e+69im |  1.16946e+00 + 0.00000e+00im
V_{(13//2, 8//13)}   | -5.96317e+73 + 6.52918e+74im |  2.40234e-01 + 0.00000e+00im
V_{(13//2, 10//13)}  | -4.12845e+67 + 1.96530e+67im |  1.19236e+00 + 0.00000e+00im
V_{(13//2, 12//13)}  | -5.65527e+54 - 6.63498e+54im |  1.10724e+00 + 0.00000e+00im
V_{(13//2, 14//13)}  |  7.37249e+74 - 4.71204e+74im |  2.40240e-01 + 0.00000e+00im
V_{(13//2, 16//13)}  |  2.13084e+80 - 3.68517e+80im |  2.23661e+00 + 0.00000e+00im
V_{(13//2, 18//13)}  |  1.53686e+66 + 7.81440e+65im |  9.12916e-01 + 0.00000e+00im
V_{(13//2, 20//13)}  |  1.60758e+07 - 9.32206e+07im |  1.61808e+00 + 0.00000e+00im
V_{(13//2, 22//13)}  |  4.49441e+68 + 2.71450e+69im |  1.16946e+00 + 0.00000e+00im
V_{(13//2, 24//13)}  | -6.89122e+74 - 4.12869e+74im |  2.40237e-01 + 0.00000e+00im
V_{(15//2, 0)}       | -3.92848e+58 - 1.42137e+58im |  1.62623e+00 + 0.00000e+00im
V_{(15//2, 2//15)}   |  9.70636e+68 - 1.35295e+69im |  1.16943e+00 + 0.00000e+00im
V_{(15//2, 4//15)}   |  4.93872e+79 - 1.38870e+80im |  2.22501e+00 + 0.00000e+00im
V_{(15//2, 2//5)}    | -1.81763e+68 + 5.08657e+68im |  1.18669e+00 + 0.00000e+00im
V_{(15//2, 8//15)}   |  4.91845e+57 + 1.75441e+58im |  1.66819e+00 + 0.00000e+00im
V_{(15//2, 2//3)}    | -1.25093e+69 - 1.04035e+68im |  1.16943e+00 + 0.00000e+00im
V_{(15//2, 4//5)}    | -8.17470e+79 + 1.88390e+79im |  2.21461e+00 + 0.00000e+00im
V_{(15//2, 14//15)}  |  2.63595e+68 - 1.03411e+68im |  1.17729e+00 + 0.00000e+00im
V_{(15//2, 16//15)}  | -2.38336e+69 - 4.57330e+68im |  1.16945e+00 + 0.00000e+00im
V_{(15//2, 6//5)}    | -3.26368e+80 + 2.25652e+79im |  2.23728e+00 + 0.00000e+00im
V_{(15//2, 4//3)}    |  2.38780e+68 + 7.14060e+67im |  1.18729e+00 + 0.00000e+00im
V_{(15//2, 22//15)}  | -2.96569e+54 + 5.61864e+54im |  1.10616e+00 + 0.00000e+00im
V_{(15//2, 8//5)}    |  7.87366e+68 + 1.91910e+69im |  1.16944e+00 + 0.00000e+00im
V_{(15//2, 26//15)}  |  1.40023e+80 + 1.82973e+80im |  2.23312e+00 + 0.00000e+00im
V_{(15//2, 28//15)}  | -2.47873e+68 - 4.55055e+68im |  1.18692e+00 + 0.00000e+00im
V_{(17//2, -10//17)} | -3.93339e+67 - 1.19329e+67im |  1.18042e+00 + 0.00000e+00im
V_{(17//2, -8//17)}  | -1.33633e+11 - 6.36317e+09im |  5.37729e-01 + 0.00000e+00im
V_{(17//2, -6//17)}  | -2.14722e+74 - 2.23482e+74im |  2.40229e-01 + 0.00000e+00im
V_{(17//2, -4//17)}  |  3.18333e+78 - 1.35278e+79im |  2.19533e+00 + 0.00000e+00im
V_{(17//2, -2//17)}  |  5.28930e+51 + 3.15832e+51im |  1.13001e+00 + 0.00000e+00im
V_{(17//2, 0)}       | -2.74739e+63 + 2.48974e+63im |  5.03626e-01 + 0.00000e+00im
V_{(17//2, 2//17)}   |  1.86341e+73 - 1.25533e+74im |  9.77983e-01 + 0.00000e+00im
V_{(17//2, 4//17)}   |  2.33174e+70 + 3.51471e+71im |  2.27911e+00 + 0.00000e+00im
V_{(17//2, 6//17)}   | -1.50275e+50 + 2.12153e+50im |  1.18207e+00 + 0.00000e+00im
V_{(17//2, 8//17)}   | -7.31445e+50 + 3.48400e+50im |  1.62294e+00 + 0.00000e+00im
V_{(17//2, 10//17)}  | -1.81791e+51 - 6.58638e+50im |  2.87090e+00 + 0.00000e+00im
V_{(17//2, 12//17)}  | -1.65291e+62 - 2.42430e+63im |  5.42197e-01 + 0.00000e+00im
V_{(17//2, 14//17)}  |  6.91657e+73 + 8.75149e+73im |  9.77981e-01 + 0.00000e+00im
V_{(17//2, 16//17)}  | -9.91933e+56 + 1.45239e+57im |  1.48375e+00 + 0.00000e+00im
V_{(17//2, 18//17)}  |  3.31264e+57 - 3.92342e+57im |  1.69444e+00 + 0.00000e+00im
V_{(17//2, 20//17)}  |  4.50102e+74 - 1.61239e+74im |  2.40231e-01 + 0.00000e+00im
V_{(17//2, 22//17)}  |  2.86015e+79 + 2.85055e+79im |  2.20402e+00 + 0.00000e+00im
Channel u
==========
Fields               | Structure constants          | Relative errors            
--------------------------------------------------------------------------
V_{(3//2, 0)}        | -2.74739e+63 + 2.48974e+63im |  5.03626e-01 + 0.00000e+00im
V_{(3//2, 2//3)}     |  1.86341e+73 - 1.25533e+74im |  9.77983e-01 + 0.00000e+00im
V_{(3//2, 4//3)}     |  5.28930e+51 + 3.15832e+51im |  1.13001e+00 + 0.00000e+00im
V_{(5//2, 0)}        | -7.31445e+50 + 3.48400e+50im |  1.62294e+00 + 0.00000e+00im
V_{(5//2, 2//5)}     | -1.81791e+51 - 6.58638e+50im |  2.87090e+00 + 0.00000e+00im
V_{(5//2, 4//5)}     | -1.65291e+62 - 2.42430e+63im |  5.42197e-01 + 0.00000e+00im
V_{(5//2, 6//5)}     |  2.33174e+70 + 3.51471e+71im |  2.27911e+00 + 0.00000e+00im
V_{(5//2, 8//5)}     | -1.50275e+50 + 2.12153e+50im |  1.18207e+00 + 0.00000e+00im
V_{(7//2, 0)}        |  7.89647e+51 - 1.21640e+52im |  1.09908e+00 + 0.00000e+00im
V_{(7//2, 2//7)}     |  1.18445e+63 + 8.57124e+62im |  5.82678e-01 + 0.00000e+00im
V_{(7//2, 4//7)}     | -9.26282e+73 - 9.48594e+72im |  9.77980e-01 + 0.00000e+00im
V_{(7//2, 6//7)}     | -8.14736e+56 - 8.48435e+57im |  1.59673e+00 + 0.00000e+00im
V_{(7//2, 8//7)}     |  6.91657e+73 + 8.75149e+73im |  9.77981e-01 + 0.00000e+00im
V_{(7//2, 10//7)}    | -9.91933e+56 + 1.45239e+57im |  1.48375e+00 + 0.00000e+00im
V_{(7//2, 12//7)}    | -3.97383e+49 - 2.02080e+50im |  1.33963e+00 + 0.00000e+00im
V_{(9//2, 0)}        |  9.20206e+57 + 1.02486e+58im |  1.65673e+00 + 0.00000e+00im
V_{(9//2, 2//9)}     | -2.77609e+52 - 5.71902e+51im |  1.49138e+00 + 0.00000e+00im
V_{(9//2, 4//9)}     |  4.34353e+53 + 8.69250e+52im |  1.72600e+00 + 0.00000e+00im
V_{(9//2, 2//3)}     | -4.54983e+63 - 8.53515e+63im |  5.98404e-01 + 0.00000e+00im
V_{(9//2, 8//9)}     | -1.93018e+71 - 1.50628e+71im |  2.32790e+00 + 0.00000e+00im
V_{(9//2, 10//9)}    |  2.52139e+49 + 1.88532e+49im |  1.36322e+00 + 0.00000e+00im
V_{(9//2, 4//3)}     |  5.04274e+51 + 8.12957e+51im |  1.26092e+00 + 0.00000e+00im
V_{(9//2, 14//9)}    | -7.87050e+62 + 1.83057e+62im |  6.04636e-01 + 0.00000e+00im
V_{(9//2, 16//9)}    |  5.73211e+73 - 4.65065e+73im |  9.77979e-01 + 0.00000e+00im
V_{(11//2, 0)}       |  5.50251e+57 - 9.50624e+56im |  1.88768e+00 + 0.00000e+00im
V_{(11//2, 2//11)}   | -1.60475e+53 + 2.87039e+53im |  1.48730e+00 + 0.00000e+00im
V_{(11//2, 4//11)}   |  1.71459e+53 - 1.45889e+54im |  1.73859e+00 + 0.00000e+00im
V_{(11//2, 6//11)}   | -4.53806e+63 + 6.80388e+63im |  5.29469e-01 + 0.00000e+00im
V_{(11//2, 8//11)}   |  8.81619e+69 + 6.79480e+70im |  2.30240e+00 + 0.00000e+00im
V_{(11//2, 10//11)}  | -1.75633e+57 - 4.06930e+56im |  1.56230e+00 + 0.00000e+00im
V_{(11//2, 12//11)}  | -1.13392e+58 - 3.06748e+57im |  1.75291e+00 + 0.00000e+00im
V_{(11//2, 14//11)}  |  1.24119e+53 - 5.69629e+52im |  1.48986e+00 + 0.00000e+00im
V_{(11//2, 16//11)}  | -1.68485e+53 + 2.39634e+52im |  1.74212e+00 + 0.00000e+00im
V_{(11//2, 18//11)}  |  9.20924e+63 + 3.61383e+62im |  5.68733e-01 + 0.00000e+00im
V_{(11//2, 20//11)}  |  1.27714e+71 - 4.14788e+70im |  2.42762e+00 + 0.00000e+00im
V_{(13//2, 0)}       | -7.00971e+53 - 5.02177e+53im |  1.70924e+00 + 0.00000e+00im
V_{(13//2, 2//13)}   |  5.10708e+63 + 1.01956e+63im |  4.86213e-01 + 0.00000e+00im
V_{(13//2, 4//13)}   |  2.72802e+70 - 5.09494e+70im |  1.89675e+00 + 0.00000e+00im
V_{(13//2, 6//13)}   | -1.94231e+58 + 2.90296e+58im |  1.99270e+00 + 0.00000e+00im
V_{(13//2, 8//13)}   | -7.01377e+54 + 6.83160e+54im |  1.47708e+00 + 0.00000e+00im
V_{(13//2, 10//13)}  | -1.12984e+57 - 8.34460e+56im |  1.33941e+00 + 0.00000e+00im
V_{(13//2, 12//13)}  | -6.75122e+72 + 5.51599e+73im |  9.77980e-01 + 0.00000e+00im
V_{(13//2, 14//13)}  | -6.05660e+52 - 5.06822e+53im |  1.48415e+00 + 0.00000e+00im
V_{(13//2, 16//13)}  |  5.62030e+53 + 1.14743e+54im |  1.71647e+00 + 0.00000e+00im
V_{(13//2, 18//13)}  | -2.68537e+63 - 6.21195e+63im |  4.97090e-01 + 0.00000e+00im
V_{(13//2, 20//13)}  | -6.03805e+70 + 3.50355e+69im |  1.94068e+00 + 0.00000e+00im
V_{(13//2, 22//13)}  |  1.75751e+57 + 9.46292e+56im |  1.94024e+00 + 0.00000e+00im
V_{(13//2, 24//13)}  |  3.79183e+53 + 4.10399e+53im |  1.48068e+00 + 0.00000e+00im
V_{(15//2, 0)}       |  3.26968e+54 + 4.07684e+54im |  1.47014e+00 + 0.00000e+00im
V_{(15//2, 2//15)}   | -3.75095e+56 - 3.39078e+55im |  1.40815e+00 + 0.00000e+00im
V_{(15//2, 4//15)}   |  2.64031e+73 + 5.53517e+72im |  9.77983e-01 + 0.00000e+00im
V_{(15//2, 2//5)}    |  5.91492e+70 - 3.91334e+71im |  1.78226e+00 + 0.00000e+00im
V_{(15//2, 8//15)}   | -3.40739e+57 - 1.19453e+58im |  9.59562e-01 + 0.00000e+00im
V_{(15//2, 2//3)}    | -2.27971e+54 - 3.67847e+53im |  1.46718e+00 + 0.00000e+00im
V_{(15//2, 4//5)}    |  1.71260e+57 - 3.48455e+57im |  1.40179e+00 + 0.00000e+00im
V_{(15//2, 14//15)}  | -1.51653e+73 + 8.51997e+72im |  9.77985e-01 + 0.00000e+00im
V_{(15//2, 16//15)}  |  1.37318e+70 + 4.12384e+70im |  1.89406e+00 + 0.00000e+00im
V_{(15//2, 6//5)}    |  8.80998e+56 - 2.91952e+58im |  1.56031e+00 + 0.00000e+00im
V_{(15//2, 4//3)}    |  5.05207e+53 - 8.34008e+54im |  1.47351e+00 + 0.00000e+00im
V_{(15//2, 22//15)}  |  7.42875e+56 + 2.64492e+56im |  1.37980e+00 + 0.00000e+00im
V_{(15//2, 8//5)}    | -2.33862e+73 - 3.21201e+73im |  9.77981e-01 + 0.00000e+00im
V_{(15//2, 26//15)}  | -5.02473e+71 + 2.63112e+71im |  1.86961e+00 + 0.00000e+00im
V_{(15//2, 28//15)}  |  3.72677e+57 + 1.97842e+58im |  1.07375e+00 + 0.00000e+00im
V_{(17//2, -10//17)} | -1.79676e+56 + 3.52440e+57im |  1.36569e+00 + 0.00000e+00im
V_{(17//2, -8//17)}  |  3.71972e+72 - 9.98057e+72im |  9.77986e-01 + 0.00000e+00im
V_{(17//2, -6//17)}  |  7.62716e+70 + 1.80816e+71im |  2.29565e+00 + 0.00000e+00im
V_{(17//2, -4//17)}  |  9.79373e+57 + 1.59143e+57im |  1.52584e+00 + 0.00000e+00im
V_{(17//2, -2//17)}  | -2.49736e+52 + 9.13413e+52im |  1.46398e+00 + 0.00000e+00im
V_{(17//2, 0)}       | -8.51257e+56 - 2.76974e+57im |  1.32825e+00 + 0.00000e+00im
V_{(17//2, 2//17)}   |  1.36062e+74 + 3.58565e+73im |  9.77986e-01 + 0.00000e+00im
V_{(17//2, 4//17)}   | -3.48523e+71 - 1.43429e+70im |  2.30519e+00 + 0.00000e+00im
V_{(17//2, 6//17)}   | -8.39419e+57 + 3.43777e+57im |  1.51774e+00 + 0.00000e+00im
V_{(17//2, 8//17)}   | -8.11281e+49 - 9.27584e+49im |  1.56469e+00 + 0.00000e+00im
V_{(17//2, 10//17)}  |  1.25117e+57 + 1.74749e+57im |  1.31693e+00 + 0.00000e+00im
V_{(17//2, 12//17)}  | -1.13865e+74 + 7.64045e+73im |  9.77985e-01 + 0.00000e+00im
V_{(17//2, 14//17)}  |  2.73937e+71 - 2.93707e+71im |  2.27185e+00 + 0.00000e+00im
V_{(17//2, 16//17)}  |  1.08434e+57 - 2.28834e+57im |  1.54537e+00 + 0.00000e+00im
V_{(17//2, 18//17)}  |  1.57776e+71 + 6.41754e+70im |  1.49122e+00 + 0.00000e+00im
V_{(17//2, 20//17)}  | -9.73266e+56 + 1.26075e+57im |  5.94631e-01 + 0.00000e+00im
V_{(17//2, 22//17)}  |  5.54305e+53 - 3.57724e+53im |  1.46495e+00 + 0.00000e+00im

