Channel s
==========
Fields         | Structure constants          | Relative errors            
--------------------------------------------------------------------
V_{(1, 0)}     |  1.00000e+00 + 0.00000e+00im | 0.00000e+00 + 0.00000e+00im
V_{(1, 1)}     | -6.78421e+73 + 1.61536e+74im |  2.40230e-01 + 0.00000e+00im
V_{(2, 0)}     |  1.00749e+68 + 2.32721e+69im |  1.41767e+00 + 0.00000e+00im
V_{(2, 1//2)}  |  2.17769e+51 + 2.01146e+51im |  1.13638e+00 + 0.00000e+00im
V_{(2, 1)}     | -6.66576e+58 - 6.46851e+58im |  1.61266e+00 + 0.00000e+00im
V_{(2, 3//2)}  |  1.41454e+21 + 1.54049e+22im |  2.26533e+00 + 0.00000e+00im
V_{(3, 0)}     |  3.37746e+69 - 3.48686e+69im |  1.43380e+00 + 0.00000e+00im
V_{(3, 1//3)}  | -1.58760e+51 + 2.23047e+50im |  1.02574e+00 + 0.00000e+00im
V_{(3, 2//3)}  | -7.44520e+57 + 9.46422e+58im |  1.59047e+00 + 0.00000e+00im
V_{(3, 1)}     | -9.93791e+72 - 2.51038e+73im |  2.40234e-01 + 0.00000e+00im
V_{(3, 4//3)}  |  8.21436e+73 + 2.87354e+71im |  2.40232e-01 + 0.00000e+00im
V_{(3, 5//3)}  |  1.82715e+80 - 7.54718e+79im |  2.18959e+00 + 0.00000e+00im
V_{(4, 0)}     |  6.00101e+58 - 3.96292e+58im |  1.59527e+00 + 0.00000e+00im
V_{(4, 1//4)}  |  3.17896e+19 - 2.08184e+19im |  1.13500e+00 + 0.00000e+00im
V_{(4, 1//2)}  |  6.59590e+79 + 4.87464e+80im |  2.20151e+00 + 0.00000e+00im
V_{(4, 3//4)}  |  1.50899e+69 + 2.12488e+69im |  1.53274e+00 + 0.00000e+00im
V_{(4, 1)}     |  5.64661e+51 + 5.81872e+51im |  1.08340e+00 + 0.00000e+00im
V_{(4, 5//4)}  | -3.20657e+80 - 1.82070e+80im |  2.19362e+00 + 0.00000e+00im
