Channel s
==========
Fields         | Structure constants          | Relative errors            
V_{(3//2, 2//3)}    |  1.34262e+51 + 1.80579e+51im |  2.71444e-01 + 0.00000e+00im
V_{(3//2, 4//3)}    |  7.83613e+85 + 7.19933e+85im |  8.13632e+00 + 0.00000e+00im
V_{(5//2, 0)}       |  2.89557e+70 + 2.15467e+70im |  3.26550e+00 + 0.00000e+00im
V_{(5//2, 2//5)}    | -4.44955e+51 - 7.32725e+51im |  3.37683e-01 + 0.00000e+00im
V_{(5//2, 4//5)}    | -5.60824e+63 + 8.75759e+61im |  2.22633e+00 + 0.00000e+00im
V_{(5//2, 6//5)}    |  3.42891e+63 - 3.90268e+63im |  2.22295e+00 + 0.00000e+00im
V_{(5//2, 8//5)}    |  1.30599e+85 - 6.62928e+85im |  5.88039e+00 + 0.00000e+00im
V_{(7//2, 0)}       |  3.10959e+63 + 3.46889e+63im |  2.22815e+00 + 0.00000e+00im
V_{(7//2, 2//7)}    | -2.00712e+86 + 3.41314e+85im |  2.16781e+00 + 0.00000e+00im
V_{(7//2, 4//7)}    | -3.39391e+70 - 1.20515e+69im |  3.69427e+00 + 0.00000e+00im
V_{(7//2, 6//7)}    | -1.96758e+52 + 3.96451e+52im |  3.03439e-01 + 0.00000e+00im
V_{(7//2, 8//7)}    | -3.52064e+85 + 1.46382e+85im |  3.60254e+00 + 0.00000e+00im
V_{(7//2, 10//7)}   |  7.78527e+69 - 5.85528e+70im |  4.13327e+00 + 0.00000e+00im
V_{(7//2, 12//7)}   | -5.34952e+03 - 3.75055e+02im |  3.84159e+00 + 0.00000e+00im
V_{(9//2, 0)}       | -2.95900e+78 - 4.86013e+78im |  2.29917e+00 + 0.00000e+00im
V_{(9//2, 2//9)}    | -1.18933e+86 - 7.99303e+85im |  2.20333e+00 + 0.00000e+00im
V_{(9//2, 4//9)}    | -6.26964e+70 - 1.96472e+70im |  3.67067e+00 + 0.00000e+00im
V_{(9//2, 2//3)}    |  7.41291e+56 - 2.34247e+57im |  1.90356e+00 + 0.00000e+00im
V_{(9//2, 8//9)}    | -1.88053e+78 + 3.49646e+78im |  2.29917e+00 + 0.00000e+00im
V_{(9//2, 10//9)}   |  7.77272e+78 - 2.61316e+76im |  2.29917e+00 + 0.00000e+00im
V_{(9//2, 4//3)}    |  1.35319e+86 + 4.48831e+85im |  1.76967e+00 + 0.00000e+00im
V_{(9//2, 14//9)}   | -1.70998e+68 + 5.79253e+69im |  2.87065e+00 + 0.00000e+00im
V_{(9//2, 16//9)}   |  3.13595e+52 + 2.86021e+51im |  3.19730e-01 + 0.00000e+00im
V_{(11//2, 0)}      |  7.02075e+70 - 9.54369e+70im |  5.12192e+00 + 0.00000e+00im
V_{(11//2, 2//11)}  | -8.09014e+57 - 1.36408e+58im |  8.67081e-01 + 0.00000e+00im
V_{(11//2, 4//11)}  |  1.70485e+79 + 7.01360e+78im |  2.29917e+00 + 0.00000e+00im
V_{(11//2, 6//11)}  | -2.37233e+86 + 4.61242e+85im |  4.80861e+00 + 0.00000e+00im
V_{(11//2, 8//11)}  |  1.13040e+51 + 3.16763e+51im |  2.08251e-01 + 0.00000e+00im
V_{(11//2, 10//11)} | -8.56231e+57 + 1.06604e+58im |  7.22926e-01 + 0.00000e+00im
V_{(11//2, 12//11)} |  7.32066e+85 + 1.74220e+86im |  2.94798e+00 + 0.00000e+00im
V_{(11//2, 14//11)} |  3.60780e+70 + 1.28193e+71im |  4.73189e+00 + 0.00000e+00im
V_{(11//2, 16//11)} | -2.16596e+57 - 6.79105e+56im |  1.09700e+00 + 0.00000e+00im
V_{(11//2, 18//11)} |  2.63938e+78 - 6.30840e+76im |  2.29917e+00 + 0.00000e+00im
V_{(11//2, 20//11)} |  9.65179e+85 - 2.06758e+86im |  3.81547e+00 + 0.00000e+00im
V_{(13//2, 0)}      |  1.47205e+79 + 1.99609e+78im |  2.29917e+00 + 0.00000e+00im
V_{(13//2, 2//13)}  |  9.47328e+69 + 5.26397e+69im |  7.11949e-01 + 0.00000e+00im
V_{(13//2, 4//13)}  |  4.49896e+62 - 3.03047e+63im |  2.22736e+00 + 0.00000e+00im
V_{(13//2, 6//13)}  | -5.43916e+78 - 1.13200e+79im |  2.29917e+00 + 0.00000e+00im
V_{(13//2, 8//13)}  |  8.70293e+67 - 5.64810e+67im |  1.17503e+00 + 0.00000e+00im
V_{(13//2, 10//13)} | -1.33964e+63 + 7.71094e+62im |  2.22444e+00 + 0.00000e+00im
V_{(13//2, 12//13)} | -5.31752e+78 + 8.61054e+78im |  2.29917e+00 + 0.00000e+00im
V_{(13//2, 14//13)} | -4.12964e+78 - 1.75177e+79im |  2.29917e+00 + 0.00000e+00im
V_{(13//2, 16//13)} |  1.59029e+86 + 1.63798e+86im |  5.98365e+00 + 0.00000e+00im
